* 4 anchors
* Two people around
* 3 back and forth
Tracker_Raw: 36793036149F 2.599 1.896 1.5 2024-05-17T20:47:15.095428Z
Tracker_Raw: 36793036149F 2.387 1.997 1.5 2024-05-17T20:47:15.341201Z
Tracker_Raw: 36793036149F 2.179 2.103 1.5 2024-05-17T20:47:15.586850Z
Tracker_Raw: 36793036149F 2.113 2.217 1.5 2024-05-17T20:47:15.824450Z
Tracker_Raw: 36793036149F 1.997 2.333 1.5 2024-05-17T20:47:16.115311Z
Tracker_Raw: 36793036149F 1.862 2.473 1.5 2024-05-17T20:47:16.364524Z
Tracker_Raw: 36793036149F 1.699 2.585 1.5 2024-05-17T20:47:16.613296Z
Tracker_Raw: 36793036149F 1.566 2.666 1.5 2024-05-17T20:47:16.855910Z
Tracker_Raw: 36793036149F 1.387 2.753 1.5 2024-05-17T20:47:17.107760Z
Tracker_Raw: 36793036149F 1.307 2.704 1.5 2024-05-17T20:47:17.395045Z
Tracker_Raw: 36793036149F 1.241 2.752 1.5 2024-05-17T20:47:17.640320Z
Tracker_Raw: 36793036149F 1.243 2.841 1.5 2024-05-17T20:47:17.883943Z
Tracker_Raw: 36793036149F 1.265 2.974 1.5 2024-05-17T20:47:18.130679Z
Tracker_Raw: 36793036149F 1.401 3.435 1.5 2024-05-17T20:47:18.379865Z
Tracker_Raw: 36793036149F 1.281 3.466 1.5 2024-05-17T20:47:18.662855Z
Tracker_Raw: 36793036149F 1.207 3.439 1.5 2024-05-17T20:47:18.906683Z
Tracker_Raw: 36793036149F 1.16 3.517 1.5 2024-05-17T20:47:19.154573Z
Tracker_Raw: 36793036149F 1.166 3.705 1.5 2024-05-17T20:47:19.393970Z
Tracker_Raw: 36793036149F 1.135 3.628 1.5 2024-05-17T20:47:19.643785Z
Tracker_Raw: 36793036149F 1.223 3.457 1.5 2024-05-17T20:47:19.930633Z
Tracker_Raw: 36793036149F 1.388 3.762 1.5 2024-05-17T20:47:20.173510Z
Tracker_Raw: 36793036149F 1.454 3.613 1.5 2024-05-17T20:47:20.420288Z
Tracker_Raw: 36793036149F 1.559 3.426 1.5 2024-05-17T20:47:20.667016Z
Tracker_Raw: 36793036149F 1.638 3.318 1.5 2024-05-17T20:47:20.915850Z
Tracker_Raw: 36793036149F 1.676 2.965 1.5 2024-05-17T20:47:21.197712Z
Tracker_Raw: 36793036149F 1.854 2.795 1.5 2024-05-17T20:47:21.443082Z
Tracker_Raw: 36793036149F 1.926 2.67 1.5 2024-05-17T20:47:21.691749Z
Tracker_Raw: 36793036149F 2.092 2.467 1.5 2024-05-17T20:47:21.936501Z
