tracker,id,x,y,z,timestamp
Filtered,36793036149F,3.43544,-0.276594,1.5,2024-05-18T02:07:48.485286Z
Raweee,36793036149F,3.144,-0.307,1.5,2024-05-18T02:07:48.485286Z
Filtered,36793036149F,3.378865,-0.388268,1.5,2024-05-18T02:07:48.785869Z
Raweee,36793036149F,3.264,-0.615,1.5,2024-05-18T02:07:48.785869Z
Filtered,36793036149F,3.28783,-0.519519,1.5,2024-05-18T02:07:49.281322Z
Raweee,36793036149F,3.103,-0.786,1.5,2024-05-18T02:07:49.281322Z
Filtered,36793036149F,3.147636,-0.607788,1.5,2024-05-18T02:07:49.767640Z
Raweee,36793036149F,2.863,-0.787,1.5,2024-05-18T02:07:49.767640Z
Filtered,36793036149F,3.052056,-0.698278,1.5,2024-05-18T02:07:50.057416Z
Raweee,36793036149F,2.858,-0.882,1.5,2024-05-18T02:07:50.057416Z
Filtered,36793036149F,2.959968,-0.776396,1.5,2024-05-18T02:07:50.310532Z
Raweee,36793036149F,2.773,-0.935,1.5,2024-05-18T02:07:50.310532Z
Filtered,36793036149F,2.849758,-0.838305,1.5,2024-05-18T02:07:50.556790Z
Raweee,36793036149F,2.626,-0.964,1.5,2024-05-18T02:07:50.556790Z
Filtered,36793036149F,2.724768,-0.862295,1.5,2024-05-18T02:07:50.806996Z
Raweee,36793036149F,2.471,-0.911,1.5,2024-05-18T02:07:50.806996Z
Filtered,36793036149F,2.591195,-0.853287,1.5,2024-05-18T02:07:51.051323Z
Raweee,36793036149F,2.32,-0.835,1.5,2024-05-18T02:07:51.051323Z
Filtered,36793036149F,2.50632,-0.871343,1.5,2024-05-18T02:07:51.340000Z
Raweee,36793036149F,2.334,-0.908,1.5,2024-05-18T02:07:51.340000Z
Filtered,36793036149F,2.421075,-0.89697,1.5,2024-05-18T02:07:51.591221Z
Raweee,36793036149F,2.248,-0.949,1.5,2024-05-18T02:07:51.591221Z
Filtered,36793036149F,2.28311,-0.92173,1.5,2024-05-18T02:07:51.839268Z
Raweee,36793036149F,2.003,-0.972,1.5,2024-05-18T02:07:51.839268Z
Filtered,36793036149F,2.117744,-0.875289,1.5,2024-05-18T02:07:52.086190Z
Raweee,36793036149F,1.782,-0.781,1.5,2024-05-18T02:07:52.086190Z
Filtered,36793036149F,1.951508,-0.796324,1.5,2024-05-18T02:07:52.330946Z
Raweee,36793036149F,1.614,-0.636,1.5,2024-05-18T02:07:52.330946Z
Filtered,36793036149F,1.831881,-0.790607,1.5,2024-05-18T02:07:52.619630Z
Raweee,36793036149F,1.589,-0.779,1.5,2024-05-18T02:07:52.619630Z
Filtered,36793036149F,1.72731,-0.771927,1.5,2024-05-18T02:07:52.867363Z
Raweee,36793036149F,1.515,-0.734,1.5,2024-05-18T02:07:52.867363Z
Filtered,36793036149F,1.639428,-0.798351,1.5,2024-05-18T02:07:53.119533Z
Raweee,36793036149F,1.461,-0.852,1.5,2024-05-18T02:07:53.119533Z
Filtered,36793036149F,1.506297,-0.757315,1.5,2024-05-18T02:07:53.364518Z
Raweee,36793036149F,1.236,-0.674,1.5,2024-05-18T02:07:53.364518Z
Filtered,36793036149F,1.294669,-0.705071,1.5,2024-05-18T02:07:53.608876Z
Raweee,36793036149F,0.865,-0.599,1.5,2024-05-18T02:07:53.608876Z
Filtered,36793036149F,1.005038,-0.642348,1.5,2024-05-18T02:07:53.904961Z
Raweee,36793036149F,0.417,-0.515,1.5,2024-05-18T02:07:53.904961Z
Filtered,36793036149F,0.700105,-0.571943,1.5,2024-05-18T02:07:54.149140Z
Raweee,36793036149F,0.081,-0.429,1.5,2024-05-18T02:07:54.149140Z
Filtered,36793036149F,0.483921,-0.422802,1.5,2024-05-18T02:07:54.389229Z
Raweee,36793036149F,0.045,-0.12,1.5,2024-05-18T02:07:54.389229Z
Filtered,36793036149F,0.266477,-0.291527,1.5,2024-05-18T02:07:54.633638Z
Raweee,36793036149F,-0.175,-0.025,1.5,2024-05-18T02:07:54.633638Z
Filtered,36793036149F,0.109239,-0.157373,1.5,2024-05-18T02:07:54.886267Z
Raweee,36793036149F,-0.21,0.115,1.5,2024-05-18T02:07:54.886267Z
Filtered,36793036149F,-0.00667,0.00709,1.5,2024-05-18T02:07:55.176249Z
Raweee,36793036149F,-0.242,0.341,1.5,2024-05-18T02:07:55.176249Z
Filtered,36793036149F,-0.123929,0.18229,1.5,2024-05-18T02:07:55.409329Z
Raweee,36793036149F,-0.362,0.538,1.5,2024-05-18T02:07:55.409329Z
Filtered,36793036149F,-0.215362,0.415174,1.5,2024-05-18T02:07:55.657599Z
Raweee,36793036149F,-0.401,0.888,1.5,2024-05-18T02:07:55.657599Z
Filtered,36793036149F,-0.233063,0.629617,1.5,2024-05-18T02:07:55.908039Z
Raweee,36793036149F,-0.269,1.065,1.5,2024-05-18T02:07:55.908039Z
Filtered,36793036149F,-0.181232,0.789793,1.5,2024-05-18T02:07:56.149115Z
Raweee,36793036149F,-0.076,1.115,1.5,2024-05-18T02:07:56.149115Z
Filtered,36793036149F,-0.179835,0.868402,1.5,2024-05-18T02:07:56.436521Z
Raweee,36793036149F,-0.177,1.028,1.5,2024-05-18T02:07:56.436521Z
Filtered,36793036149F,-0.1657,0.923709,1.5,2024-05-18T02:07:56.683229Z
Raweee,36793036149F,-0.137,1.036,1.5,2024-05-18T02:07:56.683229Z
Filtered,36793036149F,-0.180649,1.013235,1.5,2024-05-18T02:07:56.928968Z
Raweee,36793036149F,-0.211,1.195,1.5,2024-05-18T02:07:56.928968Z
Filtered,36793036149F,-0.180765,1.167597,1.5,2024-05-18T02:07:57.174725Z
Raweee,36793036149F,-0.181,1.481,1.5,2024-05-18T02:07:57.174725Z
Filtered,36793036149F,-0.175232,1.34494,1.5,2024-05-18T02:07:57.418141Z
Raweee,36793036149F,-0.164,1.705,1.5,2024-05-18T02:07:57.418141Z
